text:hello how are you today?	labels:i'm great thanks! how are you doing?
text::How can I build a support network in the villages or neighborhood.	labels: Most of you have strong community support base because of the social movements you are part of or are involved in. However, if you don’t have this,you must build your network in your community. They will help you get stories and impact. ● You must be outgoing & confident in talking to strangers and not shy. a You must be confident and project yourself like an activist, even when you are nervous. You must feel you are leader. This is hard but try! The only thing stopping you from changing your community is your own fear!  episode_done:True text:How can I find ideas for stories?  labels:● Stories often originate from ‘case studies,’ (ie, one case of a person who complained about being asked for a bribe creates a big story about corruption in the whole department), or news reports, or ‘whistleblowers’, ie important people with access to information. ● Therefore, make a list of sources for stories and stay in touch with those people regularly. local NGOs or social movements; government officials, panchayats, schools/libraries, people who travel often, friends who are curious. Visit government offices to stay up to date with developments. ● Do a story that is easy to find close to you: for instance, you can always do a profile of your village, or of someone successful in your community ● Always read the newspaper. Listen to the radio. Watch news on television. ● Keep a notebook with you everywhere you go! Try to write down 1 or 2 story ideas every day. Refer to this when you need an idea ● Refer back to all the notes given by trainers. The video briefs for campaigns – like Maternal Health and Forced Evictions are full of story ideas. The Gender Manual is full of video ideas. Please read them carefully. ● Write down the Awaz De phone messages when you hear them, that have story ideas for special videos we want. For instance, we might be looking for five videos on farmers and will send a list of sub–themes we want – like ‘farmers & pesticides,’ ‘farmers & suicides, etc.’ ● Discuss the VV campaigns. Also check the date calendar and see if the CC can make a video specific to a date (like Environment Day) etc ● Go to your government contacts –say , ‘what challenges are you facing? Are there things on which you wish to raise awareness in the  community? I can make a video.	episode_done:True
text:Who is the star of your story?	labels:● Your video SHOULD HAVE ONE MAIN CHARACTER. ● You can have more than one character ONLY if the story absolutely requires it. Other characters will be ‘supporting characters’ and they should all be connected to the main character. ● Spend some time getting to know your character and the environment before filming. What do they do? How do they do it? Where do they go? What is happening? What is interesting about the character?	episode_done:True
text:why reporting on these cases in an evidence based  manner with  accuracy  is important?	labels:gender project design with select group of ccs  where ccs are oriented to conductdiscussion clubs using videos produced on instances of everyday patriarchy as wellgender based violence  these discussion clubs aim to create a discourse around theneed to dismantle patriarchy within their communities	episode_done:True
text:q2  why are we challenging patriarchy?	labels:male gender based violence   physical  verbal or emotional is a manifestation of patriarchythis phenomenon is rooted in the idea that men are endowed with the power and right tocontrol and if required   discipline  women  hence to prevent gender based discrimination andviolence  one needs take on its root cause   patriarchy	episode_done:True
text:q 3 how do i produce a video or mentor a cc to produce a video on gender?	labels:read this production and field guide from end to end  this guide is aimed at producing videosthat are different from the iu format  hence ccs and mentors need to approach these storiesdifferently  this guide will help you through identifying story ideas  give you tips on filmingreporting checklists and several short notes that will help you produce videos that chronicle	episode_done:True
text:how patriarchy plays out in different areas of life  please read the entire story idea right down?	labels:to filming tips before starting out  do not skip directly to filming tipswhile reading this guide  you will find many story ideas that they would like to film	episode_done:True
text:q 4 how do i plan and approach videos on gender based violence?	labels:khel badal  dismantle patriarchy       4    www  videovolunteers  orgthis guide   also aims at ensuring that you report on gender based violence with sensitivityaccuracy  stories on gender based violence should go beyond r  eporting  the act of violenceand  examine  the effectiveness of recourse mechanisms for survivors  remember to read allsections on protocols for reporting and intervention  rights of a survivor  protocols for policeand doctors and several reporting checklists to make good videos on gender based violence	episode_done:True
text:q 5 i have identified a story idea  who do i pitch it story to or discuss it with?	labels:gender project story ideas should not be discussed with your field mentors  cc mentors  butwith your state coordinator or stalin or nupur or manish or rajkumarnote for state coordinators   please ask stalin or nupur for guidance if you find it difficult tomentor a story  do this only after  you have the one liner  which is who  where  when andwhat	episode_done:True
text:q 6 do the gender videos follow the iu format?	labels:yes and nothis guide will equip you to produce gender videos under two categories1  everyday patriarchy2  gender based violencevideos that chronicle everyday patriarchy will n               ot  follow the iu formatthey don t need to have an opening p2c or ctathey will have vos and a closing p2c  the closing p2c will not be an appeal but	episode_done:True
text:a round up  in which you express your opinion on the issue and why it exists?	labels:interviews you conduct for these videos need to be conversational and not arapid fire round of questions  in other words     baat cheet karni hai  sawaaljawaab nahithe filming tips section of this guide will help you prepare for these interviewsas well as visualize these storiesread through this production and field guide to identify what elements yourstory needs  discuss with mentors for claritygreat b rolls are a mustvideos on gender based violence will have all elements   p2cs and voiceover and call to actionyou must follow all protocols for reporting on gender based violence  refer topart ii of this guide  reporting on gender based violence	episode_done:True
text:q 7 who will review the footage?	labels:your mentors will review the footage  this means that the footage is reviewed either by thestate coordinator or the mentors in goa office	episode_done:True
text:q 8 where will gender videos be edited?	labels:note for state coordinators and state editors   editing of all gender videos will take place atthe goa officekhel badal  dismantle patriarchy       5    www  videovolunteers  org	episode_done:True
text:q 9 do these videos need to be edited differently?	labels:yes  video editors are encouraged to use their individual creativity while producing thesevideos  video editors  must  read this guide fully  to get a sense of the kind of stories that will	episode_done:True
text:come in  do also read the discussion club handbook to understand how these videos will be?	labels:put to usevideos on everyday patriarchy will  not  have a  call to action  and will most likely be used in adiscussion club  therefore  they can be conversational interviews  some gender videos can beedited using just visuals  a series of vox pops can make compilations  videos on commonthemes can also make compilationsvideos on gender based violence will have a cta  this means  that the cc will need to use itfor local advocacy to solve the problem reported in the video  therefore  these videos can	episode_done:True
text:follow the regular iu format  however  you re encouraged to be creative  remember  that our?	labels:stories of gender based violence should go beyond the act of violence and  examine  theeffectiveness of recourse mechanisms for survivors  the edited video should bring outviolations of protocols and procedures  more than the focusing solely on the description andrecounting of the incident  editors  must  read all sections on protocols for reporting andintervention  rights of a survivor  protocols for police and doctors and several reportingchecklistsif need be  reach out to stalin or nupur when a story comes in for edit	episode_done:True
text:q 10 are all gender videos to be published?	labels:yes but we need informed consent for filming as well publishing  usually we get consent for	episode_done:True
text:filming  however  you must inform the interviewee that the video you are filming will be?	labels:watched globally  get the consent as an interview on camera	episode_done:True
text:payment for these videos will be same as regular iu video   however  videos that are not?	labels:pitched and discussed with the mentors will not be paidkhel badal  dismantle patriarchy       6    www  videovolunteers  orgunderstanding gender  sexpatriarchy	episode_done:True
text:sometimes it is hard to understand what exactly is meant by the term  gender   and how it?	labels:differs from the closely related term  sex   while   sex   refers to the biological andphysiological characteristics that define men and women     gender   refers to the sociallyconstructed roles  behaviours  activities  and attributes that a given society considersappropriate for men and womento put it another waymale  and  female  are sex categories  while  masculine  and  feminine  are gendercategoriessome examples of sex characteristicswomen menstruate while men do notmen generally have larger bones than womensome examples of gender characteristicsin rural india  women earn significantly less money than men for similar workin most parts of the world  women do more housework than menso  people are born female or male or intersex   but are taught to be girls and boys who growinto women and men  they are taught what the  appropriate  behaviour and attitudes  roles and	episode_done:True
text:activities are for them  and how they should relate to other people  this learned behaviour is?	labels:what makes up gender identity  and determines gender roles and responsibilitiesintersex  in humans and other animals  describes variations in sex characteristics includingchromosomes  gonads  sex hormones  genitals that do not fit binary notions of male andfemale bodiesunderstanding patriarchythe dictionary defines  patriarchy  as  a social organization marked by the supremacy of thefather in the clan or family in both domestic and religious functions   it is a sociopolitical systemthat dictates that men are entitled to be in power and dominate women  such a system impliesthat the natural state of gender relations is a dynamic of dominance and submissionkhel badal  dismantle patriarchy       7    www  videovolunteers  orgit insists that men are inherently dominating  superior to everything and everyone else isdeemed weak  especially women  women are seen as weak  submissive and an extension ofmen and the highest accomplishments a woman can hope to attain are marriage and bearingchildren  as a result of this  women are likely to face more harassment and discriminationsimply because their gender is seen as less powerful  capable and credible  at the other end ofthe spectrum  patriarchy expects men to be physically   emotionally strong  dominatingbreadwinners and protectors of their family	episode_done:True
text:even in the 21st    century  patriarchy determines how parents in most families would regard each?	labels:of us   patriarchal thinking is taught widely through religion  and often  it has been taught to usthat god being male created men to rule the world and that it was the work of women to helpmen perform these tasks  to obey  and to always assume a subordinate rolemale violence against women   physical  verbal or emotional is a manifestation of patriarchythis phenomenon is rooted in the idea that men are endowed with the power and right tocontrol and if required  even discipline womenthis thinking is reinforced in every institution we encounter  be it homes where women don thave a say in decision making  at schools where children at a tender age are taught genderappropriate behavior  in our villages and at work where you will find more male leaders thanwomen or the communities we live in  wherein men and women are expected to abide bygender appropriate behavior	episode_done:True
text:why challenge patriarchy?	labels:as little girls  adolescents or grown women  have we ever experienced a state of absolute	episode_done:True
text:powerlessness? a time when we were reminded of our gendered place in our household? a	labels:time when a strong or powerful man has made us aware that if we did not obey the rules  we	episode_done:True
text:would be punished by him  the patriarchal father who was the ruler in our household? this is	labels:the way we were experientially schooled in the art of patriarchypatriarchy dictates that the natural state of gender relations is a dynamic of dominance andsubmission  it demands that those in power  men  as well as those who are controlled  women	episode_done:True
text:conform to a specific set of rules  while women are allowed to  show emotion  they must not?	labels:cross boundaries set for them  they are not allowed to act assertive or attempt to gainauthority  men on the other hand  are expected to suppress their feelingsthe problem is  by not allowing people to both simultaneously express their emotions andassert themselves   we limit their range of experiences and diminish their worth as humanbeingsremarks like  a decent girl won t roam around at nine o clock at night  or  housework andhousekeeping is for girls  not roaming in discos and bars at night  or  real men don t cry  arekhel badal  dismantle patriarchy       8    www  videovolunteers  orgall manifestations of patriarchal attitudes that control the way both men and women conductthemselves in societypatriarchal thinking shapes the values of our culture  we are socialized into this systemfemales as well as males  most of us learn patriarchal attitudes in our family of origin  and oftenthey are taught to us by our mothers  these attitudes are reinforced in schools and religiousinstitutions  some examples of manifestation of patriarchy in our lives arewomen are expected to move marital homes  adopt their husband s surnames and insome cultures even their namescommodification of women through dowry compromises the status of women in societyand makes them vulnerable to their spouses and also puts them in a position of beingtreated as household propertyrestrictions placed on mobility of womenmany families go to extreme lengths to avoid having a daughter in the first place as theyprefer a son for the following reasonsa son is seen as someone who can earn and care for his parents in their lateryears  while a daughter will get married and go awaya son can carry on the family name  while a daughter becomes part of herhusband s familygirls are seen as consumers  whereas boys are seen as producersmany families consider it a status symbol to have a son  and a point of shame tohave a daughterwomen are seen as homemakers and men as breadwinnerskhel badal  dismantle patriarchy       9    www  videovolunteers  orgpart i    everyday patriarchythe first part of this guide will help you make videos on the various aspects of patriarchy thataffect and control our daily lifefilming category   1gender   workbackground   our society refers to men as breadearners  and to women  as unpaid house workersthe productive work of women is often seen as anextension of their reproductive work  which is notrecognized as  real work    and likewiseundervalued  this is the reason women have longerworkdays than men globally  in the productivesphere too women often get paid much less for the same task that men doeven in jobs  whether they are governmental or corporate  most of the upper positions are heldby men  women are generally concentrated in the lower  supportive positions necessary tokeep this male leadership in power  thus  the power  prestige  and privileges of those inpositions of power  generally men  depend on the subordinate position of womenfurthermore  traditional gender roles  still widespread in society  are barriers to womenclimbing corporate ladders  current value systems largely support the notion that it is better forthe family if the father is employed and the mother takes care of the majority of parentalresponsibilities  unsupportive attitudes from family  friends  and co workers may have negativeeffects on women s work and their roles in societykhel badal  dismantle patriarchy       10    www  videovolunteers  orgvideo story idea   1household work   professional workghar ka kaam aur bahar ka kaammohan and nina reside in a remote village in chhattisgarh and are both agricultural wagelabourers  nina wakes up at 4am to start on the household tasks and mohan wakes up leisurelyat 7 am  right in time to eat something and listen to the radio  from 8 am to 11 am nina goes tofetch water from 3 miles away  cooks and cleans for her family and reaches to start her paidwork in the farm thereafter  mohan goes to farm around 10 am  she and mohan are allotted thesame piece of land to work on and carry out the same sort of tasks  nina and mohan get paidvery different amounts per hour of work  she has to go back home in time to cook and feed herfamily  once mohan is back from work  he has a peaceful evening with his friends playing cardgames and listening to the radio  it is quite late before nina falls asleep after her householdchoresfilming tips   you will have to follow both mohan and nina through a full day  frommorning to evening  you will need one full day with nina and one full day with mohanget plenty of b rolls of both performing different tasks through the day  every activitydone by nina and mohan are important to capture on video  shoot your interviewswhile they are performing these tasks instead of formal  sit down interview	episode_done:True
text:will this traditional role division ever change? should it change?	labels:these are not the exact questions for you to ask  these are to help you engage them in aconversation so that you can capture their notions and beliefs around role division based ongenderremember  this kind of story cannot be done without great b rolls  in fact  one can even dothis type of story only with visuals and no interviews or vokhel badal  dismantle patriarchy       11    www  videovolunteers  orgvideo story idea   2	episode_done:True
text:aurat ko naukri kyun?	labels:very often women are unable to keep a job unless they have supportive family  we all know ofwomen who have had to give up their job or career after marriage26 year old wahida has been working with a local ngo since she was 19  she is smartarticulate and committed to social issues  particularly to women s issues  her intervention inseveral cases of violence against women and young girls in her village has been crucial ingetting them relief  support  wahida was able to do all this till the time she was living with her	episode_done:True
text:do you need to meddle with other people s affairs? take care of your own household instead	labels:they ask  wahida has tried to reason with her in laws and husband to no avail  her husbandshakeel is otherwise a nice person  he s loving and caring  he believes that a woman s role isto take care of the house and family and that it s the  man s role to worry about the worldfilming tips   if you are a male cc  you should plan a video with shakeel as the maincharacter  our purpose of the video is not to judge shakeel or tell him he s wrong  ourpurpose is to give shakeel an opportunity to explain his position  his beliefs  todismantle patriarchy it is extremely important for all of us to understand what meaningit holds for those around us  shakeel s story will help us understand this  approach shakeelwith an open mind  it s important that you get a lot of general b roll of shakeel doing things in	episode_done:True
text:many women? was it okay for her parents to let her work before marriage?	labels:if you are a woman cc  you can plan a video with wahida as the central character  if you do soit is very important that you make sure that her situation in the house is not compromisedmeaning  she should not be in trouble for speaking her mind  explain to her that you can hide	episode_done:True
text:her face while filming her  your conversation with her should reveal how she feels about this?	labels:tradition of where women are made to give up a job after marriage  does she think this is right	episode_done:True
text:when she wants to have a career? what needs to change in society?	labels:if you are lucky  maybe both shakeel and wahida will agree to be in your film  if that s the caseyou can explore both the things described above in one storykhel badal  dismantle patriarchy       12    www  videovolunteers  orgfilming category   2patriarchy at homevideo story idea   3training kids for gendered rolespitrusatta ki tyarirabia is 11 years old  she is smart and intelligent  she takes care of her 4 year old sister whenher parents are out working in the farm  she has a younger brother razak who is 8  they bothgo to school but razak gets to go everyday and rabia often has to stay back home to cookclean and take care of the baby sister  rabia s mother wakes up at 5am  she wakes up at6am  her father and razak wakes up at 7 30am  rabia s day starts with walking a kilometer tothe water point with three small pots  two on her head and one on her waist  she often has tomake 4 to 5 trips in the morning  if the line is too big  she will miss school  she has to sweepthe yard  help her mom cook and feed the baby  razak wakes up and runs off to be with hisfriends or does his homeworkfilming tips   this kind of story must be common in your places  if you find a storylike this  you can plan your video  you will need to spend three full days with rabiaand razak  the first day you don t shoot but you just observe what these kids do and	episode_done:True
text:take mental notes of how their lives are different  you also use that day to speak to?	labels:their parents and get their consenton the second day you film one kid and other kid on the third day  film everything they do in a	episode_done:True
text:day  you will be able to tell a great visual story of how girls and boys are trained for different?	labels:roles within the home  for a story like this  you don t even need to have a voice over or a p2c	episode_done:True
text:you can ask razak and rabia why razak does not have to fetch water or cook or clean  ask?	labels:rabia if she misses play time with her friends and if she has to miss school because ofhousework  ask both of them what they would like to be when they grow up so that our	episode_done:True
text:why razak is not being taught to cook and clean  ask razak and rabia the same question?	labels:remember  that to film a story like this you need to spend time with the family  you cannot filmthese types of stories by merely asking them a prepared set of questions  the gender based	episode_done:True
text:roles and discrimination differences need to be shown to our audiences and not told?	labels:if you have good visuals and in depth and conversational interviews  you can make two videosfrom this footage  one video on rabia and one on razak  or the editors can make one longerfilm combining the twokhel badal  dismantle patriarchy       13    www  videovolunteers  orgvideo story idea   4sex selection son preference   daughter aversionbackground   while sex determination has been banned by the indian governmentit does not stop families from going to great lengths to find out anyway  not only are thereplenty of scanning centres that reveal this information  many of the wealthier families fly thepregnant mother to neighbouring countries where sex determination is legal  to find out thegender of the babythe practice of sex selective abortion is rooted in patriarchy   wherein women are consideredweaker  inferior to men and are unwanted	episode_done:True
text:what impact does sex selection have on the sex ratio?	labels:sex ratio refers to ratio of females to males in a given region  practices like sex selectiveabortion and female infanticide  killing a baby girl after she is born  have had an adverse effecton the sex ratio of a nation and gives rise to further social evilsas per the  indian census 2011  report  the sex ratio of india  females per 1000 males  is asfollowsindia s average sex ratio   943rural sex ratio    946             state with highest female sex ratio    kerala 1058urban sex ratio    900             state with lowest female sex ratio                haryana 861	episode_done:True
text:what are the long term impacts of sex selective abortion?	labels:the most important impact of sex selective abortion is the skewed ratio it gives rise to  thedearth of females leads to other complications like female trafficking  kidnappings and anincrease in assault and rape against womenkirpal ojha and his wife meena live in a small village of madhya pradesh  meena died leavingkirpal with their four daughters aged 5  9  10 and 12  with so many daughters and a lack ofaccess to medical treatment only one of kirpal s daughters has survived  neighbours claimthat kirpal s second daughter died after the mother in law stuffed tobacco in the baby smouthfilming tips    this kind of story can be seen everywhere because we know thataround 500 000 female fetuses are aborted every year  if you find a story like thisyou can plan a video to understand more on the issue  you could spend some timewith individual members of the family and in particular the mothers in law to ask themwhat factors led them to make the decisions that they made and whether having a girl child is	episode_done:True
text:really that much of a burden since they are also women?	labels:khel badal  dismantle patriarchy       14    www  videovolunteers  orgyou could also go and talk to health care providers in the area to understand their practices	episode_done:True
text:camera they may not admit to this as it is illegal in india  so be careful as to how you would?	labels:approach this aspect of the researchvideo story idea   5man in the house  male outsideghar me insan  bahar mardsometimes you come across a story like this  kabir and his wife kamla s second baby is twomonths old  at home kabir is extremely helpful   he helps his wife nurse  take care of the	episode_done:True
text:newborn  change nappies  clean up  however  when they go out to visit or stay at a relative s?	labels:house  his behaviour changes  he does not do any of the things that he does at home and onlyplays with his baby  despite his wife s annoyancefilming tips   it will be very interesting to have kabir  and not kamla  as the maincharacter of your video  spend a whole day or two with the young family  get them toknow well and then do the filming  it s extremely crucial for you to capture the variousmoments of kabir and his child  get great b rolls of everything he does  close ups ofkabir  his child is important  the visuals should tell us the love and bonding of the father andthe childyour conversation with kabir should be about his changed behaviour inside the house and	episode_done:True
text:normal? this is your opportunity to understand and capture how men are trained and	labels:conditioned for a certain role in a certain wayyou may ask kabir some of the questions from the list belowwhen you first learnt that you were pregnant  what were your feelings and who all did you	episode_done:True
text:why are husbands so shy to talk about pregnancy or child care?	labels:khel badal  dismantle patriarchy       15    www  videovolunteers  orgfilming category   3patriarchy in community	episode_done:True
text:samaaj   society constructs gender roles and dictates how men and women are supposed to?	labels:behave and respond to situationsvideo story idea   6be a manmard banmost boys and men in their childhood have heard the phrase  mard ban  or  ladkiyon ke tarah	episode_done:True
text:us and teach us how we must behave as a boy or man  boys are also  taught  what kind of?	labels:work or tasks they are supposed to do and what tasks they are not required to do  this sexistdivision of work is either told to us or we see and learn  it is then difficult for us to unlearn thisthis perpetuates discriminationthis video should capture all these differences of allowed and not allowedfilming tips    identify and choose three characters  1  a 7 to 10 year old boy  2  a 14to 18 year old boy  and 3  a 25 year  and above  old manask each one them the following questions	episode_done:True
text:shooting the brolls for this is very important  here s one idea of how you can shoot interesting?	labels:brollsif the answer for question 1 is  riding a bicycle   then film your character riding a bicycle  if theanswer is  climbing a tree   then film your character climbing a treeif the answer to question 2 is  washing clothes   then film your character sitting standing nextto a woman washing clothes  if the answer is  making rotis   then film your character watchinga woman or girl making rotis or your character eating rotiif the answer to question 3 is  ploughing the farm   then film your character ploughing thefarmkhel badal  dismantle patriarchy       16    www  videovolunteers  orgvideo story idea   7	episode_done:True
text:ladka hai ya ladki?	labels:from a tender age  children are taught gender appropriate behaviour  mannerisms and waysin which they should express themselves  for example  girls should speak softly whereas boysare expected to speak out loud and with confidence  a real man laughs boisterously andheartily  whereas women giggle  these norms extend to the way men and women sit  standrun  dance etcchildren and adults who don t conform to these set norms of gender appropriate behaviour aresubject to teasing  taunting  bullying and berating  for example   a boy who is shy  will be toldladki ki tarah mat sharma   a girl who asks too many questions or speaks her mind will bereprimanded for doing sofilming tips	episode_done:True
text:1  to explore how norms of gender appropriate behaviour and mannerisms are?	labels:imbibed and play out in everyday expression  pick three boys and three girlschildren between 10 and 15 would be ideal2  ask each child to do the following actions on cameraa  laugh like a man and laugh like a woman  film this by framing a mid shotof each characterb  cry like a woman and cry like a man  film this by framing a mid shot ofeach characterc  stand like a man and stand like a woman  film this by framing a long shotof each characterd  sit like a man and sit like a woman  film this by framing a long shot ofeach charactere  dance like a man and dance like a woman  film this by framing a longshot of each character3  it will be good to do this in a space where the children are most comfortable toact this out  you may want to film with boys and girls separately  if they feel morecomfortable that way4  you can keep an extra duppata or scarf with you just in case a child wants touse it as a saree or turban5  this is an entirely visual video so getting great shots is extremely importantkhel badal  dismantle patriarchy       17    www  videovolunteers  orgvideo story idea   8societal rulessamaj ke bandhanthere are many things the society  approves  and  forbids  men and women to do  interestinglythe list of  dos and don ts  are different for men and women  often the list of  don ts  for women	episode_done:True
text:will be much longer  how do we make a video about this? here s one way to do it	labels:ask the following four questions to 9 people	episode_done:True
text:q1   according to the rules of society  what can a man do and what is forbidden for him?	labels:q2   according to the rules of society  what can a woman do and what is forbidden for	episode_done:True
text:purush ko saman darja hona chahiye?	labels:q4   the child marriage prohibition act  2006 prescribes differential marriageable agesfor women  18 years  and men  21 years   girls and boys can vote at 18  contest elections	episode_done:True
